Rank,Ticker,Company,Price ($),Base Case IV ($),Base Upside (%),Bull Case IV ($),Bull Upside (%),Bear Case IV ($),Bear Upside (%),Avg Fall 1-6M (%),Growth Rate (%),Discount Rate (%)
1,HDB,HDFC Bank Limited,24.38,5822.97,23784.2,9119.91,37307.3,3303.53,13450.2,-20.05,7.5,6.95
2,ISRG,"Intuitive Surgical, Inc.",438.54,,,,,,,-15.67,18.8,12.6
3,SONY,Sony Group Corporation,22.19,4491.76,20142.4,5673.89,25469.7,3371.05,15091.8,-7.87,2.0,8.25
4,PDD,PDD Holdings Inc.,96.22,2080.58,2062.3,2986.15,3003.5,1418.6,1374.3,-9.33,2.0,6.0
5,BABA,Alibaba Group Holding Limited,129.13,2677.13,1973.1,4764.82,3589.8,1062.21,722.6,-10.38,25.0,7.02
6,BKNG,Booking Holdings Inc.,155.46,513.41,230.3,795.7,411.8,241.8,55.5,-15.68,25.0,10.36
7,COF,Capital One Financial Corporation,185.11,543.61,193.7,644.48,248.2,438.56,136.9,-8.44,2.0,10.08
8,CRM,"Salesforce, Inc.",174.69,497.93,185.0,788.67,351.5,272.78,56.2,-15.34,17.9,10.56
9,AXP,American Express Company,309.24,683.49,121.0,1084.28,250.6,374.4,21.1,-9.54,17.6,10.26
10,SPGI,S&P Global Inc.,413.38,769.17,86.1,1211.25,193.0,343.53,-16.9,-11.87,25.0,10.38
11,IBM,International Business Machines Corporation,239.38,432.84,80.8,747.0,212.1,208.84,-12.8,-11.49,14.2,7.5
12,ACN,Accenture plc,176.07,253.16,43.8,310.92,76.6,195.37,11.0,-18.44,4.0,10.19
13,SAP,SAP SE,174.66,187.57,7.4,271.71,55.6,118.64,-32.1,-11.46,9.3,8.2
14,APH,Amphenol Corporation,121.85,124.21,1.9,199.03,63.3,60.16,-50.6,-12.43,24.1,11.43
15,SYK,Stryker Corporation,315.97,318.54,0.8,511.96,62.0,169.29,-46.4,-8.82,14.2,8.76
16,DHR,Danaher Corporation,170.6,153.56,-10.0,227.8,33.5,90.86,-46.7,-16.04,9.8,8.93
17,ABT,Abbott Laboratories,87.51,72.41,-17.3,92.93,6.2,53.52,-38.8,-17.72,2.0,7.86
18,NFLX,"Netflix, Inc.",87.99,69.54,-21.0,103.21,17.3,34.58,-60.7,-10.62,25.0,12.81
19,TMO,Thermo Fisher Scientific Inc.,444.39,339.11,-23.7,529.06,19.1,181.53,-59.2,-18.88,11.3,9.16
20,NOW,"ServiceNow, Inc.",99.83,69.12,-30.8,85.12,-14.7,53.52,-46.4,-20.79,2.3,8.8
21,LOW,"Lowe's Companies, Inc.",216.72,101.29,-53.3,136.53,-37.0,65.01,-70.0,-9.17,2.0,9.8
22,BX,Blackstone Inc.,116.9,46.38,-60.3,56.93,-51.3,34.93,-70.1,-12.69,3.9,13.29
23,HD,"The Home Depot, Inc.",309.27,102.72,-66.8,135.57,-56.2,68.89,-77.7,-8.82,2.0,9.79
24,SHOP,Shopify Inc.,103.31,29.82,-71.1,40.66,-60.6,17.32,-83.2,-25.9,25.0,18.84
25,PLTR,Palantir Technologies Inc.,137.47,29.89,-78.3,43.95,-68.0,15.34,-88.8,-10.53,25.0,12.67
